Date,Open,High,Low,Close,Adj Close,Volume
2005-03-07,331.160004,332.690002,330.420013,330.600006,330.600006,193300
2005-03-08,330.600006,331.579987,327.119995,327.369995,327.369995,0
2005-03-09,327.369995,327.369995,323.709991,323.709991,323.709991,201600
2005-03-10,323.709991,324.059998,320.049988,321.540009,321.540009,197900
2005-03-11,321.540009,323.950012,319.970001,321.130005,321.130005,196300
2005-03-14,321.130005,322.690002,320.440002,322.690002,322.690002,209500
2005-03-15,322.690002,325.170013,320.709991,320.829987,320.829987,183000
2005-03-16,320.829987,321.200012,317.959991,318.619995,318.619995,196300
2005-03-17,318.619995,320.410004,317.720001,319.529999,319.529999,202700
2005-03-18,319.529999,320.359985,316.429993,317.899994,317.899994,186500
2005-03-21,317.899994,318.450012,315.619995,318.000000,318.000000,203200
2005-03-22,318.000000,321.209991,316.369995,316.660004,316.660004,203200
2005-03-23,316.660004,316.660004,313.559998,313.559998,313.559998,201900
2005-03-24,313.559998,317.589996,313.559998,315.410004,315.410004,201300
2005-03-28,315.410004,317.140015,314.790009,315.279999,315.279999,182600
2005-03-29,315.279999,317.239990,308.980011,309.480011,309.480011,199600
2005-03-30,309.480011,314.910004,309.480011,314.880005,314.880005,180700
2005-03-31,314.880005,315.160004,313.200012,314.959991,314.959991,201500
2005-04-01,314.959991,317.859985,311.640015,313.029999,313.029999,199500
2005-04-04,313.029999,314.649994,310.339996,313.950012,313.950012,198000
2005-04-05,313.950012,315.459991,313.609985,314.410004,314.410004,195600
2005-04-06,314.410004,318.049988,314.410004,315.390015,315.390015,193600
2005-04-07,315.390015,317.700012,314.059998,317.260010,317.260010,207600
2005-04-08,317.260010,317.290009,312.559998,312.660004,312.660004,200700
2005-04-11,312.660004,313.440002,310.519989,310.970001,310.970001,200800
2005-04-12,310.970001,313.720001,307.100006,313.339996,313.339996,197300
2005-04-13,313.339996,313.339996,307.350006,307.799988,307.799988,198800
2005-04-14,307.799988,308.480011,302.239990,302.239990,302.239990,194500
2005-04-15,302.239990,302.250000,295.730011,296.220001,296.220001,206300
2005-04-18,296.220001,299.079987,294.660004,298.230011,298.230011,201300
2005-04-19,298.230011,303.690002,298.230011,303.690002,303.690002,201800
2005-04-20,303.690002,304.609985,298.829987,298.850006,298.850006,202400
2005-04-21,298.850006,306.760010,298.850006,306.760010,306.760010,191400
2005-04-22,306.760010,306.760010,298.769989,301.230011,301.230011,199700
2005-04-25,301.230011,304.850006,301.230011,304.850006,304.850006,200000
2005-04-26,304.850006,305.940002,299.940002,299.970001,299.970001,202200
2005-04-27,299.970001,301.100006,296.109985,299.429993,299.429993,196600
2005-04-28,299.429993,299.429993,292.929993,292.940002,292.940002,193200
2005-04-29,292.940002,295.540009,290.089996,294.809998,294.809998,198000
2005-05-02,294.809998,298.000000,294.589996,298.000000,298.000000,185800
2005-05-03,298.000000,299.869995,296.170013,297.510010,297.510010,188400
2005-05-04,297.510010,303.119995,297.510010,303.029999,303.029999,187800
2005-05-05,303.029999,304.670013,301.029999,303.720001,303.720001,184600
2005-05-06,303.720001,305.470001,303.070007,304.200012,304.200012,194100
2005-05-09,304.200012,307.570007,302.829987,307.559998,307.559998,186900
2005-05-10,307.559998,307.559998,302.500000,303.049988,303.049988,199100
2005-05-11,303.049988,303.730011,299.339996,303.200012,303.200012,189100
2005-05-12,303.200012,304.450012,298.700012,299.640015,299.640015,197500
2005-05-13,299.640015,300.720001,295.570007,297.730011,297.730011,204300
2005-05-16,297.730011,302.230011,297.660004,302.230011,302.230011,198100
2005-05-17,302.230011,303.929993,299.929993,303.859985,303.859985,192700
2005-05-18,303.859985,310.880005,303.859985,310.880005,310.880005,188100
2005-05-19,310.880005,312.519989,310.390015,312.450012,312.450012,183100
2005-05-20,312.450012,312.450012,309.510010,311.410004,311.410004,200300
2005-05-23,311.410004,314.600006,311.410004,313.410004,313.410004,203500
2005-05-24,313.410004,313.859985,311.920013,313.500000,313.500000,190400
2005-05-25,313.500000,313.500000,309.549988,310.019989,310.019989,195000
2005-05-26,310.019989,314.660004,310.019989,314.660004,314.660004,207300
2005-05-27,314.660004,316.059998,313.470001,315.630005,315.630005,205400
2005-05-31,315.630005,316.579987,314.880005,315.480011,315.480011,188800
2005-06-01,315.480011,319.200012,315.350006,318.529999,318.529999,191900
2005-06-02,318.529999,319.730011,317.609985,319.730011,319.730011,182900
2005-06-03,319.730011,320.089996,316.380005,316.799988,316.799988,193600
